"ind_index" "x" "y" "phenotype1_mat" "phenotype2_MTWetQ" "phenotype3_MTDQ" "phenotype4_PDM" "phenotype5_PwarmQ" "phenotype6_PWM" "env1_mat" "env2_MTWetQ" "env3_MTDQ" "env4_PDM" "env5_PwarmQ" "env6_PWM"
1078 0.322265 0.100594 0.319129 0.0236533 0.109029 -0.511848 -0.457104 -0.577342 0.427427 -0.0221531 0.0947516 -0.478408 -0.652761 -0.645802
1093 0.568384 0.802217 -0.4432 0.231196 -0.41906 0.0802502 0.238734 -0.0212566 -0.426485 0.218403 -0.381533 0.0754367 0.181614 -0.0893247
1098 0.86133 0.051414 0.227355 -0.37825 0.0352284 0.0759408 -0.279634 -0.0948242 0.105071 -0.319005 0.116815 0.116783 -0.216343 -0.15463
1100 0.975334 0.0141569 -0.217923 0.00671911 0.429013 0.197913 -0.0988556 0.082742 -0.274852 0.0385084 0.47349 0.319945 -0.0227672 0.0338467
1102 0.318258 0.590922 0.217734 -0.224401 0.290466 0.210342 0.0354703 0.0978421 0.236525 -0.281889 0.291064 0.15694 0.0403361 0.0200847
1111 0.866063 0.793786 -0.0771751 0.33278 -0.542456 -0.545458 0.576165 0.261066 0.0111017 0.372338 -0.635473 -0.467916 0.58022 0.281561
1115 0.441633 0.964358 -0.24655 0.301667 -0.0456512 0.21223 0.140598 -0.00645338 -0.205367 0.27474 0.0255086 0.15764 0.176927 -0.102046
1116 0.076009 0.0921051 0.163337 -0.212206 0.767262 0.243419 -0.419047 0.538474 0.300387 -0.215703 0.942741 0.126593 -0.443363 0.511095
1144 0.582338 0.24766 -0.0433064 -0.349249 0.0520795 0.550982 0.0693701 0.531473 -0.0513551 -0.332732 0.100071 0.427008 0.0188867 0.469342
1145 0.832375 0.871118 -0.0976621 0.363427 -0.121072 -0.435369 0.619606 0.362281 -0.00571922 0.3679 -0.182499 -0.440748 0.627417 0.319151
1149 0.824051 0.138011 -0.4194 -0.512828 -0.45572 0.463826 0.0286012 -0.00196382 -0.338378 -0.398564 -0.346246 0.401613 -0.0565782 -0.0189212
1154 0.665069 0.470366 -0.468822 -0.442918 -0.0685027 0.44065 0.204789 0.37464 -0.429146 -0.438345 -0.0963027 0.428616 0.199916 0.358066
1156 0.776594 0.786174 -0.268298 0.261433 -0.302509 -0.286538 0.464447 0.19714 -0.339935 0.254405 -0.357326 -0.30491 0.476706 0.160958
1158 0.0786136 0.727707 0.301012 0.489484 -0.0450385 -0.318457 -0.154899 -0.342036 0.306099 0.443173 0.0456812 -0.386413 -0.206885 -0.389376
1161 0.908494 0.830142 -0.0544783 0.454452 -0.606532 -0.610089 0.616451 0.272139 0.0508824 0.407324 -0.518798 -0.495084 0.559185 0.295323
1165 0.896282 0.99488 0.101789 0.356539 -0.569872 -0.527555 0.669125 0.454688 0.024362 0.403825 -0.553114 -0.467916 0.685392 0.364133
1173 0.236032 0.818458 -0.0615256 -0.341786 -0.0114061 0.533827 0.461654 0.367548 -0.183535 -0.36308 0.0136935 0.638775 0.475048 0.380743
1174 0.235437 0.773094 -0.0615256 -0.341786 -0.0114061 0.533827 0.461654 0.367548 -0.0454 -0.330109 0.104263 0.55028 0.432674 0.307889
1175 0.011823 0.127612 -0.0470412 -0.245774 0.888841 0.295631 -0.399517 0.489963 0.00873919 -0.276448 0.761726 0.251726 -0.368354 0.381563
1184 0.187331 0.566371 0.43792 0.460114 0.0998179 -0.313152 -0.289072 -0.369881 0.405569 0.458921 0.0714402 -0.359245 -0.229581 -0.323963
1189 0.76033 0.415867 -0.159039 -0.483637 0.00320557 0.263206 0.153209 -0.00800223 -0.29351 -0.410987 -0.116365 0.35708 0.125557 0.057288
1198 0.665899 0.106742 0.141092 -0.149273 0.811179 0.531098 -0.0935885 0.556044 0.236525 -0.250402 0.929344 0.537286 0.0122902 0.653133
1203 0.839061 0.669522 -0.268298 0.261433 -0.302509 -0.286538 0.464447 0.19714 -0.293883 0.270881 -0.264858 -0.277743 0.43999 0.13018
1204 0.633983 0.569863 -0.167242 -0.393248 0.167223 0.232506 0.151965 0.195951 0.0191152 -0.360245 0.19364 0.238443 0.118853 0.265053
1209 0.896735 0.111025 0.193896 -0.259052 -0.0654389 0.0284264 -0.287647 -0.143441 0.236525 -0.299382 -0.0315083 -0.0604014 -0.240123 -0.213868
1217 0.150429 0.09973 0.048872 -0.322984 0.541136 0.174835 -0.39597 0.118988 -0.0162172 -0.292539 0.764214 0.130099 -0.415129 0.0752429
1218 0.78147 0.374986 0.0171447 -0.246977 -0.0971682 0.0338881 -0.0456845 -0.0951352 0.0641426 -0.348362 -0.107004 0.0482691 -0.0718476 -0.0762486
1220 0.617166 0.674647 -0.676326 0.0866287 -0.470671 0.218813 0.260098 -0.103465 -0.69169 0.141435 -0.525661 0.184107 0.25068 -0.0487248
1229 0.51033 0.673696 -0.254289 -0.344729 0.091708 0.142962 0.124846 0.0758261 -0.289491 -0.410756 -0.0169399 0.211275 0.102278 0.0418673
1230 0.129194 0.950931 0.160247 0.3864 0.00216615 0.101997 0.187629 -0.106782 0.183485 0.400327 -0.0315083 0.129772 0.215623 -0.0762486
1239 0.804718 0.743216 -0.252566 0.22194 -0.470438 -0.219733 0.50922 0.226468 -0.386142 0.23917 -0.388105 -0.271962 0.489071 0.157704
1241 0.0467843 0.704386 0.04181 0.334431 0.0407164 -0.454037 -0.271164 -0.450289 0.0923249 0.376275 -0.0718276 -0.389818 -0.206823 -0.366974
1248 0.189321 0.403545 0.406505 0.414751 0.034619 -0.373919 -0.507412 -0.608912 0.355867 0.442309 0.0574825 -0.440748 -0.464727 -0.502868
1249 0.12423 0.511668 0.300366 0.470373 0.0514498 -0.350752 -0.340509 -0.371645 0.202632 0.4067 -0.0490511 -0.413581 -0.347943 -0.360966
1252 0.956005 0.628557 -0.132057 0.396166 -0.218018 -0.274477 0.482093 0.0987943 -0.09498 0.296091 -0.251132 -0.386413 0.416068 0.223679
1264 0.463843 0.657859 -0.14565 -0.406936 0.121968 0.283342 0.149122 0.183434 -0.0817198 -0.365854 0.11262 0.238443 0.068382 0.102656
1267 0.568272 0.931751 -0.374084 0.20322 -0.393735 0.0162096 0.290821 -0.101993 -0.340692 0.246267 -0.344005 -0.00609144 0.222855 -0.0485888
1272 0.0325861 0.95489 0.191519 0.392385 -0.038286 -0.337097 -0.160026 -0.397123 0.255712 0.427435 0.0212693 -0.285936 -0.0934337 -0.308333
1273 0.645452 0.63195 -0.676326 0.0866287 -0.470671 0.218813 0.260098 -0.103465 -0.574093 0.179989 -0.455589 0.165619 0.224898 -0.0736392
1293 0.787948 0.33297 0.0171447 -0.246977 -0.0971682 0.0338881 -0.0456845 -0.0951352 -0.0478065 -0.362137 -0.172305 0.130884 -0.0502392 -0.0658937
1294 0.507298 0.439727 -0.0771327 -0.373377 0.0655248 0.229309 0.0816309 0.241989 -0.0419391 -0.344863 0.119483 0.26561 0.00527868 0.212751
1299 0.684001 0.0145427 0.129992 -0.267909 0.875185 0.492204 -0.0873044 0.469224 0.0600279 -0.287262 0.841038 0.510119 -0.0617253 0.393302
1312 0.469808 0.579227 0.0380809 -0.357717 0.167806 0.198673 0.0699992 0.188916 0.0774028 -0.333182 0.208705 0.238443 0.068382 0.166802
1339 0.384679 0.331307 0.233554 -0.191045 -0.0547616 -0.160458 -0.279085 -0.386259 0.168902 -0.289235 -0.0390558 -0.169072 -0.336886 -0.391401
