gene	Gene.Ontology.IDs
LOC111132349	GO:0005797; GO:0006486; GO:0007399; GO:0008417; GO:0018392; GO:0032580; GO:0036065; GO:0036071; GO:0046920
LOC111132366	GO:0005797; GO:0006486; GO:0007399; GO:0008417; GO:0018392; GO:0032580; GO:0036065; GO:0036071; GO:0046920
LOC111131773	GO:0000122; GO:0005634; GO:0007219; GO:0033504; GO:0042803; GO:0043565; GO:0045892; GO:0046982; GO:0048793; GO:0072013; GO:0072082
LOC111131721	GO:0003677; GO:0005524; GO:0005664; GO:0006260
LOC111131752	GO:0000324; GO:0000329; GO:0005385; GO:0006882; GO:0046686; GO:0071577
LOC111131766	GO:0000324; GO:0000329; GO:0005385; GO:0006882; GO:0046686; GO:0071577
LOC111131682	GO:0001786; GO:0005783; GO:0005789; GO:0005829; GO:0010891; GO:0015248; GO:0015485; GO:0015914; GO:0016020; GO:0030336; GO:0031965; GO:0032148; GO:0032541; GO:0043231; GO:0045444; GO:0046326; GO:0046628; GO:0051897; GO:0070273; GO:0090204; GO:0140343
LOC111128103	GO:0000122; GO:0000791; GO:0006368; GO:0016570; GO:0016593; GO:0016607
LOC111100985	GO:0001658; GO:0001736; GO:0001822; GO:0003007; GO:0005509; GO:0005886; GO:0007009; GO:0007156; GO:0007157; GO:0007219; GO:0008543; GO:0021987; GO:0022008; GO:0035329; GO:0043931; GO:0045177; GO:0048565; GO:0060122; GO:0072006; GO:0072137; GO:0072307
LOC111103238	GO:0002088; GO:0003382; GO:0003412; GO:0005509; GO:0005634; GO:0005886; GO:0005911; GO:0005925; GO:0007015; GO:0007155; GO:0007156; GO:0007163; GO:0007267; GO:0009653; GO:0016324; GO:0016477; GO:0030027; GO:0030175; GO:0048471; GO:0070062; GO:0098609
LOC111112387	GO:0005930; GO:0060271; GO:0070840
LOC111114799	GO:0000221; GO:0046961
LOC111129446	GO:0005634; GO:0005737; GO:0030036; GO:0044877; GO:2000812; GO:2000813
LOC111100566	GO:0003987; GO:0005524; GO:0005759; GO:0006629; GO:0047760; GO:0050218
LOC111136882	
LOC111136873	GO:0004345; GO:0005788; GO:0006006; GO:0009051; GO:0017057; GO:0047934; GO:0047935; GO:0047936; GO:0050661
LOC111099831	
